"Date","Price","Open","High","Low","Vol.","Change %"
"29/05/2024","71,752.00","71,971.00","72,013.00","71,578.00","","-0.61%"
"28/05/2024","72,189.63","72,559.40","72,887.49","72,140.77","112.06M","-0.51%"
"27/05/2024","72,559.40","72,746.06","72,991.77","72,559.40","68.31M","-0.26%"
"24/05/2024","72,746.06","72,573.50","73,028.78","72,004.78","83.26M","0.24%"
"23/05/2024","72,573.50","73,060.63","73,635.56","72,573.50","103.47M","-0.67%"
"22/05/2024","73,060.63","73,438.76","73,700.63","73,018.37","107.32M","-0.51%"
"21/05/2024","73,438.76","73,733.80","73,733.80","72,997.33","99.57M","-0.40%"
"20/05/2024","73,733.80","73,213.76","73,915.71","73,209.09","110.06M","0.71%"
"17/05/2024","73,213.76","73,214.00","73,432.59","72,677.43","103.75M","0.00%"
"16/05/2024","73,214.00","73,142.16","73,529.96","73,019.98","142.56M","0.10%"
"15/05/2024","73,142.16","72,372.32","73,351.75","72,353.09","142.97M","1.06%"
"14/05/2024","72,372.32","72,408.19","72,779.50","72,082.80","152.27M","-0.05%"
"13/05/2024","72,408.19","72,180.82","72,612.03","72,057.78","94.95M","0.31%"
"10/05/2024","72,180.82","71,339.62","72,529.67","71,339.62","108.36M","1.18%"
"09/05/2024","71,339.62","70,939.42","71,394.55","70,649.23","108.90M","0.56%"
"08/05/2024","70,939.42","70,789.82","71,023.87","70,509.83","123.11M","0.21%"
"07/05/2024","70,789.82","70,651.84","71,050.48","70,608.46","104.48M","0.20%"
"06/05/2024","70,651.84","70,299.70","71,240.11","70,299.70","88.03M","0.50%"
"03/05/2024","70,299.70","69,944.03","70,856.02","69,944.03","115.79M","0.51%"
"02/05/2024","69,944.03","69,924.83","70,735.31","69,808.08","148.91M","0.03%"
"30/04/2024","69,924.83","70,391.06","70,606.51","69,924.83","168.64M","-0.66%"
"29/04/2024","70,391.06","69,357.67","70,433.21","69,357.67","134.83M","1.49%"
"26/04/2024","69,357.67","68,437.29","69,583.94","68,373.55","121.21M","1.34%"
"25/04/2024","68,437.29","68,573.48","68,900.65","67,842.95","118.25M","-0.20%"
"24/04/2024","68,573.48","68,050.58","68,801.68","68,040.52","122.52M","0.77%"
"23/04/2024","68,050.58","67,496.66","68,170.96","67,440.61","121.31M","0.82%"
"22/04/2024","67,496.66","67,313.61","67,823.15","67,279.79","105.31M","0.27%"
"19/04/2024","67,313.61","67,189.65","67,341.37","66,462.83","113.06M","0.18%"
"18/04/2024","67,189.65","66,899.25","67,422.01","66,721.23","141.81M","0.43%"
"17/04/2024","66,899.25","66,901.55","67,484.11","66,643.64","147.80M","0.00%"
"16/04/2024","66,901.55","68,348.49","68,348.49","66,754.84","156.02M","-2.12%"
"15/04/2024","68,348.49","69,208.94","69,230.31","68,292.54","135.34M","-1.24%"
"12/04/2024","69,208.94","69,079.32","69,742.81","68,931.48","170.21M","0.19%"
"11/04/2024","69,079.32","69,276.72","69,540.84","68,637.07","117.91M","-0.28%"
